Nr wpisu,Data dokonania wpisu,Nazwa przedsiębiorcy zagranicznego,Siedziba przedsiębiorcy zagranicznego,Kraj przedsiębiorcy zagranicznego,Forma prawna przedsiębiorcy zagranicznego,Przedmiot głównej działalności gospodarczej przedsiębiorcy zagranicznego,Imię i nazwisko osoby upoważnionej w przedstawicielstwie do reprezentowania przedsiębiorcy zagranicznego,Adres siedziby przedstawicielstwa na terytorium RP,Kod pocztowy,Miasto,Województwo,Data wykreślenia przedstawicielstwa z rejestru,Ostatni dzień obowiązywania wpisu
184,2001-01-17,CHT Germany GmbH,Bismarckstraße 102 D-72072 Tübingen,Niemcy,spółka z o.o.,"Produkcja i handel produktami chemicznymi i technicznymi każdego rodzaju w szczególności do zastosowania w przemyśle tekstylnym, jak również wykonywanie związanych z tym usług.",Marek Cegielski,ul. Sienkiewicza 82/84,90-318,Łódź,łódzkie,Wykreślone 01-05-2024,
205,2001-03-29,ROHDE & SCHWARZ OSTERREICH Gesellschaft m.b.H. ,"Technologiestrasse 10, Gebaude E 1120 Wiedeń  ",Austria,spółka z o.o.,"a) handel urządzeniami, maszynami i systemami elektronicznymi, elektrotechnicznymi i mechanicznymi, w tym również z wykorzystaniem marki międzynarodowej ""Rohde & Schwarz"", b) świadczenie usług serwisowych i prac naprawczych obejmujących towary rozprowadzane przez spółkę, c) czynności pomocnicze niezbędne do działania w zakresie a) i b).",Maciej Stopniak ,"Al. Jerozolimskie 44, 22 piętro",00-024,Warszawa,mazowieckie,Aktywne,30.04.2026
210,2001-03-30,DBH Osthandelsgesellschaft mbH,Storkower Str.139 b 10407 Berlin,Niemcy,spółka z o.o.,"Kupno i sprzedaż przede wszystkim produktów chemicznych, materiałów pakunkowych, części technicznych i wyposażenia, usług oraz inne operacje działania spółki, które pośrednio lub bezpośrednio są nieodzowne dla spółki.",Grażyna Szymerska,ul. Kakowskiego 11 m. 1,04-042,Warszawa,mazowieckie,Wykreślone 31-12-2021,
228,2001-11-04,IMA EST GmbH,Friedlgasse 12/1 1190 Wiedeń,Austria,spółka z o.o.,"Zakup, sprzedaż i wypożyczanie automatycznych maszyn i innych wyrobów je uzupełniających. Prowadzenie usług techniczno-handlowych. Nabywanie i udzielanie przedstawicielstw i udziałów w innych zakładach lub spółkach w Austrii lub za granicą o podobnym profilu działalności.",Jacek Wiśniewski,ul. Duchnicka 3/3,01-796,Warszawa,mazowieckie,Wykreślone 11-07-2020,
231,2001-04-18,SKAKO CONCRETE A/S,Bygmestervej 2 5600 Faaborg,Dania,spółka akcyjna,"Projektowanie, produkcja i sprzedaż maszyn do produkcji betonu.",Dorota Dąbrowska-Kobus ,"Al. Jana Pawła II 27, Atrium Centrum",00-867,Warszawa,mazowieckie,Wykreślone 28-02-2022,
232,2001-04-19,FOLEX AG,Bahnhofstrasse 92 CH-6423 Seewen SZ ,Szwajcaria,spółka akcyjna,"Produkcja i handel podłożami foliowymi do różnych technik druku komputerowego, przygotowalni offsetowych i sitowych, kserografii, klawiatur elektronicznych oraz podłożami papierowymi do druku atramentowego w drukarkach i ploterach ink-jet.",Markus Winter ,ul. Saska 105 lok. 5,03-914,Warszawa,mazowieckie,Wykreślone 11-07-2020,
240,2001-08-05,"Duek Keum Co., Ltd.","49-17 Chungmoro 2GA, Chungku Seul ",Republika Korei,spółka z o.o.,"Eksport i import wyrobów tekstylnych szytych z włókna, produkcja wyrobów tekstylnych szytych z włókna, sprzedaż hurtowa i detaliczna wyrobów tekstylnych szytych z włókna, jakakolwiek i każda działalność uboczna związana z każdą z powyższych działalności.",Magdalena Potz,ul. Brzeźna 3,90-303,Łódź,łódzkie,Aktywne,30.04.2026
245,2001-05-16,Harris Gesellschaft m.b.H.,Stubenring 6 1010 Wiedeń,Austria,spółka z o.o.,Handel artykułami spożywczymi.,Adam Melka,Al. Jerozolimskie 25/10,00-508,Warszawa,mazowieckie,Wykreślone 31-03-2023,
247,2001-05-17,Japan External Trade Organization,"12-32, Akasaka 1-chome, Minato-ku 107-6006 Tokio ",Japonia,państwowa osoba prawna - niezależna agencja państwowa,"Prowadzenie badań dotyczących handlu i obwieszczanie ich wyników. Reklama i propagowanie produkcji oraz produktów naszego kraju. Wspieranie stron w transakcjach handlowych. Wydawanie i dystrybucja publikacji dotyczących handlu, a także pełnienie funkcji informacyjnych i dziedzinie handlu. Organizowanie wystaw i targów, udział w nich, bądź pośredniczenie w organizacji wystaw i targów. Pozyskiwanie danych dotyczących gospodarki (oraz pokrewnych zagadnień) w krajach regionu azjatyckiego i innych. Prowadzenie badań na podstawie publikacji i danych dotyczących gospodarki (oraz pokrewnych zagadnień) w krajach regionu azjatyckiego i innych oraz prowadzenie badań w regionie. Okresowe przedstawianie wyników prowadzonych zadań lub przedstawianie tych wyników na złożony wniosek. Umożliwianie wspólnego korzystania z urządzeń i wyposażenia osobom zajmującym się prowadzeniem badań dotyczących gospodarki (oraz pokrewnych zagadnień) w krajach regionu azjatyckiego i innych, wymienionych w trzech poprzednich punktach. Pozostałe zadania związane z powyższymi punktami.",Yasuyuki Ishiga,"ul. Twarda 18, SPEKTRUM TOWER ",00-105,Warszawa,mazowieckie,Aktywne,30.04.2026
258,2001-06-25,"Akcionerne Towarystwo ""Ukrajinśka Zaliznycia"" (nazwa skrócona: AT ""UKRZALIZNYCIA"")","ul. Jerzego Giedroycia 5, 03150 Kijów",Ukraina,spółka akcyjna,Kolejowy transport towarowy i pasażerski.,Oleg Novak,ul. Nowogrodzka 11,00-513,Warszawa,mazowieckie,Aktywne,30.04.2026
269,2001-03-08,Wörwag Pharma GmbH & Co. KG,Calwer Str.7 71034 Böblingen,Niemcy,spółka komandytowa,"Wytwarzanie i sprzedaż preparatów chemiczno-farmaceutycznych, artykułów spożywczych, dietetycznych artykułów spożywczych, preparatów uzupełniających do żywności, środków przyrodoleczniczych, środków pielęgnacji zdrowia, środków do pielęgnacji ciała i kosmetyków, olejków eterycznych, produktów perfumeryjnych, artykułów ortopedycznych, plastrów i materiałów opatrunkowych, aparatów medycznych i instrumentów jak również czasopism, gazet, broszur i książek.",Nicolas Schweyer,ul. Bodycha 18,02-495,Warszawa,mazowieckie,Wykreślone 01-05-2022,
274,2001-08-28,Bell Flavors & Fragrances GmbH,Schimmelstrasse 1 D-04205 Lipsk,Niemcy,spółka z o.o.,"Opracowywanie, wytwarzanie i dystrybucja na całym świecie substancji zapachowych i smakowych, w tym również kompozycji olejków eterycznych, niektórych wyrobów kosmetycznych i środków do pieczenia.",Anna Hachaj,ul. Piastowska 8,43-200,Pszczyna,śląskie,Wykreślone 11-07-2020,
276,2001-08-30,Compressor Products International Limited,"Hungerford, Berkshire RG 17 OQP Smitham Bridge Road",Wielka Brytania,spółka z o.o.,Produkcja i sprzedaż części do sprężarek tłokowych.,Włodzimierz Idziak,ul. J. Dąbrowskiego 19 m. 11,02-561,Warszawa,mazowieckie,Wykreślone 31-12-2022,
282,2001-09-28,FISCHER CHEMICALS AG,Riesbachstrasse 57 CH-8034 Zurich,Szwajcaria,spółka akcyjna,"Handel surowcami i produktami farmaceutycznymi i chemicznymi jak też towarami każdego rodzaju; spółka może nabywać, zarządzać, stosować i sprzedawać patenty, licencje, procedury produkcyjne, prawa do znaków towarowych oraz innych dóbr niematerialnych w dziedzinie chemii, farmaceutyki i kosmetyki; spółka może mieć udziały w innych przedsiębiorstwach jak też nabywać grunty.",Grzegorz Dziekan ,ul. Sarmacka 10/14,02-972,Warszawa,mazowieckie,Aktywne,30.04.2026
287,2001-09-28,Agència per a la Competitivitat de l’Empresa,"Passeig de Gracia, 129 08008 Barcelona",Hiszpania,przedsiębiorstwo publiczne,"Wspieranie internacjonalizacji, innowacyjności oraz możliwości pozyskiwania kapitału produkcyjnego w szerokim aspekcie. Tworzenie przedsiębiorstw, wspieranie ich promocji oraz rozwoju w sferze technologii oraz wytwarzania wartości dodanej. Transfer wiedzy oraz przyczynienie się do przepływu wyników badań i osiągnięć w zakresie nowych technologii oraz sektora przedsiębiorstw. Stymulowanie popyt na innowacyjność w firmach katalońskich poprzez stosowanie odpowiednich instrumentów wspierających kapitał oraz bezpośrednie wsparcie prac badawczych, rozwojowych oraz innowacyjnych (B+R+I) poprzez publiczny zakup innowacyjnych technologii (PZIT). Stymulowanie konkurencyjności przedsiębiorstw poprzez stosowanie odpowiednich instrumentów informacyjnych oraz usprawnień organizacyjnych. Dostosowanie struktury organizacyjnej oraz świadczonych przez siebie usług do zmieniającej się problematyki oraz zagwarantowanie optymalnego wykorzystania posiadanych środków. Wspieranie optymalnego wykorzystania zasobów ludzkich i finansowych przedsiębiorstw. Wspieranie właściwego wykorzystania talentu i kreatywności oraz stosowanie zaleceń zawartych w treści Ustawy 9/2009 z 30 czerwca o polityce przemysłowej. ",Michał Chabasiewicz,"ul. Chmielna 73, CIC Warszawa",00-801,Warszawa,mazowieckie,Wykreślone 01-05-2024,
301,2001-09-28,"""Gazprom eksport"" OOO","Pl. Ostrowskogo 2A, Litera A 191023 Sankt-Petersburg ",Rosja,spółka z o.o.,"Handel (włączając eksport i import) gazem ziemnym, ciekłym i innym, ropą naftową, produktami przeróbki ropy naftowej i innymi towarami przemysłu rafineryjnego i petrochemicznego.",Yury Korostov,ul. Cieszyńska 3 A lok. 101,15-425,Białystok,podlaskie,Wykreślone 28-10-2022,
304,2001-03-10,POSCO INTERNATIONAL Corporation,"134, Teheran-ro, Gangnam-gu, Seul ",Republika Korei,spółka akcyjna,"Eksport/import, pośrednictwo handlowe i działalność maklerska. Agencja handlowa dla zagranicznych przedsiębiorstw handlowych. Wystawianie kart ofertowych. Zaopatrzenie wojskowe. Inwestycje, wynajem, zarządzanie, sprzedaż, zakup, doradztwo i budowa nieruchomości, działanie na rynku (nieruchomości). Rozwój i sprzedaż zasobów w kraju i za granicą. Produkcja i sprzedaż ubrań i tekstyliów. Produkcja i sprzedaż towarów elektrycznych i elektronicznych. Produkcja i sprzedaż towarów skórzanych. Produkcja i sprzedaż towarów chemicznych. Przetwarzanie i sprzedaż towarów rolniczych i produktów pochodzenia zwierzęcego. Produkcja i sprzedaż towarów różnych i zabawek. Produkcja i sprzedaż metali i wyrobów ze stali. Produkcja i sprzedaż towarów i innych żywych towarów. Produkcja i sprzedaż materiałów budowlanych. Budowa kopalń i kamieniołomów. Produkcja i sprzedaż konstrukcji stalowych. Przetwarzanie informacji, usługi edukacyjne i wynajem sprzętu informatycznego. Transport śródlądowy, morski i lotniczy, magazynowanie, dystrybucja, sprzedaż hurtowa i detaliczna. Turystyka (hotele i apartamenty), obiekty turystyczne, zaplecze turystyczne, zaplecze socjalne, łaźnie publiczne (kryty basen). Leśnictwo, inwentarz żywy, ogrodnictwo i działalność rolnicza. Eksploatacja i utrzymanie płatnych obiektów drogowych i parkingowych. Produkcja i sprzedaż samochodów i ich części, serwis samochodowy. Gospodarstwa rybackie, przetwarzanie i sprzedaż produktów rybnych. Publikowanie nośników informacji, obsługa baz danych, badania techniczne i usługi techniczne. Rafineria ropy naftowej, energia elektryczna, gaz miejski, produkty naftowe. Serwis przewodowy. Obsługa obiektów wypoczynkowych i parków rozrywki. Sprzedaż oprogramowanie i usługi edukacyjne. Inżynieria, produkcja, instalacja, nadzór, eksploatacja i konserwacja zakładów. Obsługa i utrzymanie obiektów sportowych. Działalność restauracyjna, eksport, import, sprzedaż i pośrednictwo w handlu żywnością, alkoholem i napojami bezalkoholowymi. Agencja ds. oceny oddziaływania na środowisko, oceny oddziaływania ruchu drogowego i oceny oddziaływania na krajobraz. Agencja ds. planowania zużycia energii i oszczędzania energii. Inwestycje, eksploatacja i utrzymanie infrastruktury i urządzeń towarzyszących. Wydobycie i sprzedaż kruszyw. Prowadzenie domów opieki i placówek pomocy społecznej dla osób starszych. Eksploatacja elektrowni jądrowych. Szkolenia dla nastolatków. Produkcja filmowa, eksport, import, dystrybucja i inne usługi w zakresie wydajności publicznej oraz usługi nadawania programów satelitarnych i kablowych. Eksploatacja terminali autobusowych. Usługi informatyczne i telekomunikacyjne (telefon, fax, wymiana danych) oraz usługa sieci komunikacyjnej o wartości dodanej. Produkcja i sprzedaż sprzętu telekomunikacyjnego i nadawczego (Betacam VCR, kamery i inny sprzęt), usługi inżynieryjne związane z telekomunikacją. Budowa, eksploatacja i utrzymanie kompleksów przemysłowych. Diagnostyka, bezpieczeństwo, obsługa i konserwacja urządzeń. Zakładanie i prowadzenie domów towarowych. Działalność związana z kartami kredytowymi. Działalność związana z wymiana walut. Prowadzenie ośrodków kultury i edukacji oraz prywatnej akademii pedagogicznej. Tworzenie, eksploatacja i utrzymanie centrów wystawienniczych, rozrywkowych i teatralnych. Działalność telemarketingowa. Sprzedaż zegarków, biżuterii i innych metali szlachetnych. Handel za pośrednictwem internetu. Usługi biletowe dla podróży krajowych i zagranicznych ( statki i linie lotnicze). Usługi przeprowadzkowe i kurierskie. Wydarzenia kulturalne i usługi żywieniowe. Usługi transmisji internetowej. Pośrednictwo ubezpieczeniowe (broker). Publikacja książek i pyt z muzyką. Budowa domów mieszkalnych (załącznik z 24 marca 2001r., rejestracja 29 marca 2001r.). Montaż i produkcja części składowych statków (załącznik z 13 marca 2017r., rejestracja 15 marca 2017r.). Instalacja konstrukcji stalowych (załącznik z 13 marca 2017r.,rejestracja 15 marca 2017r). Budowa instalacji do konstrukcji metalowych w budynkach (załącznik z 13 marca 2017r., rejestracja 15 marca 2017r.). Planowanie lub konwencja międzynarodowa oraz obsługa obiektów objętych konwencją międzynarodową ( załącznik z 13 marca 2017r., rejestracja 15 marca 2017r.). Agencja wystaw i imprez ( załącznik z 13 marca 2017r., rejestracja 15 marca 2017r.). Inwestycje w podmioty krajowe i zagraniczne oraz w dowolny z wyżej wymienionych podmiotów gospodarczych ( załącznik z 13 marca 2017r., rejestracja 15 marca 2017r. Licencjonowanie marek i znaków towarowych (załącznik z 13 marca 2017r., rejestracja 15 marca 2017r.). Wszelkie inne działania związane z każdą z wyżej wymienionych działalności( załącznik z 13 marca 2017r., rejestracja 15 marca 2017r.). ",Seung Thek Lim,ul. Postępu 21 A,02-676,Warszawa,mazowieckie,Aktywne,30.04.2026
307,2001-10-22,ROFA Laboratory & Process Analyzers GmbH ,Hauptstrasse 145 3420 Kritzendorf ,Austria,spółka z o.o.,Dostawa analitycznej aparatury kontrolno-pomiarowej wszelkiego rodzaju.,Michał FUDAL,ul. Pszczyńska 9/4,44-100,Gliwice,śląskie,Aktywne,30.04.2026
313,2001-10-31,ITIEN-BRIEDEN Nerger GmbH,Gemeindeplatz 11 44581 Castrop-Rauxel,Niemcy,spółka z o.o.,"Doradztwo techniczne, usługi inżynieryjne, import i eksport dóbr inwestycyjnych, głównie w obszarach górnictwa i energetyki.",Roman Malcharek,ul. Żwirki i Wigury 56,43-190,Mikołów,śląskie,Wykreślone 31-07-2021,
314,2001-10-31,"Taipei World Trade Center Co., Ltd","333 Keelung Road, Sec.1 Taipei ",Chiny/Tajwan,spółka z o.o.,"Import/eksport różnych towarów ( z wyjątkiem transakcji typu ""future""). Udostępnianie i przeprowadzanie analiz informacji dotyczących handlu wewnętrznego/zagranicznego ( z wyłączeniem informacji kredytowych i działalności doradczej z zakresu handlu papierami wartościowymi). Wydawanie i rozpowszechnianie publikacji zawierających informacje handlowe. Projektowanie wizerunku przedsiębiorstw i systemu CIS oraz projektowanie obiektów wystawowych. Opracowywanie i tłumaczenie krajowych/zagranicznych dokumentów handlowych. Przepisywanie komputerowe, formatowanie tekstów i działalność wydawnicza. Handel materiałami piśmiennymi i pamiątkami. Handel kwiatami i roślinami. Doradztwo w zakresie handlu zagranicznego. Inna działalność doradcza z zakresu handlu zagranicznego. 
",Chun-Chien Wu,ul. Emilii Plater 53,00-113,Warszawa,mazowieckie,Aktywne,30.04.2026
331,2002-09-01,GE Healthcare (South Central Europe) Handels GmbH ,Donaucitystrasse 6/3 1220 Wiedeń,Austria,spółka z o.o.,"Handel artykułami dotyczącymi zdrowia, środkami kontrastowymi do zdjęć rentgenowskich oraz artykułami medycyny nuklearnej.",Iwona Zagajewska,ul. Wołoska 9,02-583,Warszawa,mazowieckie,Wykreślone 11-07-2020,
332,2002-09-01,SpofaDental a.s. ,"ul. Markova 238, 506 01 Jičín",Republika Czeska,spółka akcyjna,"Produkcja materiałów medycznych, a  w szczególności preparatów i materiałów dentystycznych, produkcja preparatów kosmetycznych, produkcja preparatów i materiałow chemicznych oraz technicznych, a także preparatów do dezynfekcji, kupno towarów w celu ich dalszej sprzedaży i sprzedaż.",Dariusz Miśkiewicz ,Al. Jana Pawła II 27,00-867,Warszawa,mazowieckie,Wykreślone 11-07-2020,
338,2002-02-14,"OOO Torgowyj dom ""Stawkom""",Pierieułok Uralskij 15 m 230 220037 Mińsk ,Białoruś,spółka z o.o.,"Wznoszenie budynków, budowa cywilnych obiektów inżynieryjnych, handel materiałami budowlanymi i wykończeniowymi.",Iryna Maiseyenka,Al. Wilanowska 206/D-29,02-730,Warszawa,mazowieckie,Wykreślone 11-07-2020,
339,2002-02-14,Hafen Hamburg Marketing e.V.,Pickhuben 6 20457 Hamburg ,Niemcy,stowarzyszenie,"Organizacja targów i wystaw, organizacja konferencji, seminariów, kursów, sprzedaż publikacji, sprzedaż artykułów reklamowych.",Maciej Brzozowski,ul. Pańska 96/10,00-837,Warszawa,mazowieckie,Aktywne,30.04.2026
340,2002-02-20,Samsung C&T Deutschland GmbH ,Am Kronberger Hang 8 65824 Schwalbach am Taunus ,Niemcy,spółka z o.o.,"Import, eksport, sprzedaż i pośrednictwo w zakresie artykułów konsumpcyjnych (obejmujących także żywność i produkty spożywcze) oraz przemysłowych, jak również pośrednictwo w dziedzinie budownictwa i przemysłu dóbr inwestycyjnych.",Arkadiusz Guzierowicz,ul. Domaniewska 37,02-672,Warszawa,mazowieckie,Wykreślone 30-06-2021,
348,2002-03-26,Sharp NEC Display Solutions Europe GmbH,Landshuter Allee 12-14 D-80637 Munchen ,Niemcy,spółka z o.o.,"Sprzedaż elektronicznych systemów wyświetlających oraz produktów pozostających w związku z tymi systemami, sprzedaż urządzeń peryferyjnych, komunikacyjnych oraz innych pozostających w związku z ww. produktami.",Mariusz Orzechowski,ul. Bociana 22 A,31-231,Kraków,małopolskie,Aktywne,30.04.2026
363,2002-04-15,AUMUND Fordertechnik GmbH,Saalhoffer Str.17 47495 Rheinberg,Niemcy,spółka z o.o.,"Rozwijanie, konstruowanie, produkcja i sprzedaż instalacji przenośnikowych.",Sebastian Zalewski ,ul. Cypriana Kamila Norwida 18/11 ,50-374,Wrocław,dolnośląskie,Aktywne,30.04.2026
369,2002-04-23,BRENNTAG International Chemicals GmbH,Messeallee 11 45131 Essen,Niemcy,spółka z o.o.,Międzynarodowy handel chemikaliami i innymi produktami przemysłu chemicznego.,Dariusz Szczepański,ul. J. Kubickiego 19/13   ,02-954,Warszawa,mazowieckie,Aktywne,30.04.2026
377,2002-06-25,University of Cambridge - CAMBRIDGE UNIVERSITY PRESS,"The Edinburgh Building, Shaftesbury Road CB2 2 RU Cambridge  ",Wielka Brytania,osoba prawna,"Działalność wydawnicza, druk, dystrybucja i publiczna sprzedaż książek i innych publikacji Cambridge University Press.",Anna Muranty,ul. Sienna 86 m. 25,00-815,Warszawa,mazowieckie,Wykreślone 11-07-2020,
